Issues / Notes	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym	Dbxref
	GENEPIO:0101671	protein name (MPOX)			IMV membrane protein P21 (MPOX)	A protein name that denotes the IMV membrane protein P21 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377126.1,GeneID:72551539
	GENEPIO:0101672	protein name (MPOX)			DNA helicase protein (MPOX)	A protein name that denotes the DNA helicase protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377127.1,GeneID:72551540
	GENEPIO:0101673	protein name (MPOX)			Zinc finger-like protein (1) (MPOX)	A protein name that denotes the Zinc finger-like protein (1) (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377128.1,GeneID:72551541
	GENEPIO:0101674	protein name (MPOX)			IMV membrane protein A21 (MPOX)	A protein name that denotes the IMV membrane protein A21 (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377129.1,GeneID:72551542
	GENEPIO:0101675	protein name (MPOX)			DNA polymerase processivity factor protein (MPOX)	A protein name that denotes the DNA polymerase processivity factor protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377130.1,GeneID:72551543
	GENEPIO:0101676	protein name (MPOX)			Holliday junction resolvase protein (MPOX)	A protein name that denotes the Holliday junction resolvase protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377131.1,GeneID:72551544
	GENEPIO:0101677	protein name (MPOX)			Intermediate transcription factor VITF-3 (2) protein (MPOX)	A protein name that denotes the Intermediate transcription factor VITF-3 (2) protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377132.1,GeneID:72551545
	GENEPIO:0101678	protein name (MPOX)			DNA-dependent RNA polymerase subunit rpo132 protein (MPOX)	A protein name that denotes the DNA-dependent RNA polymerase subunit rpo132 protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377133.1,GeneID:72551546
	GENEPIO:0101679	protein name (MPOX)			Orthopoxvirus A26L/A30L protein (MPOX)	A protein name that denotes the Orthopoxvirus A26L/A30L protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377134.1,GeneID:72551547
	GENEPIO:0101680	protein name (MPOX)			IMV surface fusion protein (MPOX)	A protein name that denotes the IMV surface fusion protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377135.1,GeneID:72551548
	GENEPIO:0101681	protein name (MPOX)			Envelope protein A28 homolog (MPOX)	A protein name that denotes the Envelope protein A28 homolog (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377136.1,GeneID:72551549
	GENEPIO:0101682	protein name (MPOX)			DNA-directed RNA polymerase 35 kDa subunit protein (MPOX)	A protein name that denotes the DNA-directed RNA polymerase 35 kDa subunit protein (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GenBank:YP_010377137.1,GeneID:72551550
